no_of_adults;no_of_children;no_of_weekend_nights;no_of_week_nights;required_car_parking_space;room_type_reserved;lead_time;arrival_month;arrival_date;repeated_guest;no_of_previous_cancellations;no_of_previous_bookings_not_canceled;avg_price_per_room;no_of_special_requests;booking_status
2;0;2;1;0;Room_Type 1;45;3;13;0;0;0;71.1;1;Not_Canceled
2;0;0;3;0;Room_Type 1;91;4;13;0;0;0;96.3;0;Not_Canceled
2;0;1;3;0;Room_Type 1;42;3;31;0;0;0;116.26;0;Canceled
2;0;0;4;0;Room_Type 1;36;10;26;0;0;0;129;1;Canceled
2;0;0;3;0;Room_Type 1;15;4;27;0;0;0;103.44;0;Canceled
2;0;0;1;0;Room_Type 1;0;11;6;0;0;0;95;1;Not_Canceled
2;2;2;5;0;Room_Type 6;16;10;26;0;0;0;189.49;3;Not_Canceled
2;0;2;5;0;Room_Type 1;208;5;21;0;0;0;77.23;0;Canceled
1;0;0;1;0;Room_Type 1;1;4;27;1;0;4;89;1;Not_Canceled
1;0;2;1;0;Room_Type 1;1;4;10;1;0;8;65;1;Not_Canceled
2;0;0;3;0;Room_Type 1;37;3;24;0;0;0;117.6;1;Not_Canceled
2;0;1;2;0;Room_Type 1;315;9;30;0;0;0;160;0;Canceled
2;0;1;2;0;Room_Type 1;34;10;12;0;0;0;103.5;1;Not_Canceled
2;0;0;3;0;Room_Type 1;34;9;23;0;0;0;224.67;0;Canceled
2;0;0;2;0;Room_Type 1;346;9;13;0;0;0;115;1;Canceled
2;0;0;1;0;Room_Type 1;21;2;6;0;0;0;91;0;Canceled
2;0;0;3;0;Room_Type 1;37;10;13;0;0;0;105;0;Not_Canceled
2;0;0;4;0;Room_Type 1;130;4;19;0;0;0;87.55;0;Not_Canceled
1;0;0;2;0;Room_Type 1;102;12;6;0;0;0;86.4;2;Canceled
2;0;2;1;0;Room_Type 1;208;11;28;0;0;0;72.25;1;Canceled
2;0;0;3;0;Room_Type 4;59;3;17;0;0;0;77.85;0;Canceled
2;0;1;2;0;Room_Type 1;28;10;12;0;0;0;96.3;2;Not_Canceled
2;0;0;1;0;Room_Type 1;70;10;22;0;0;0;85;0;Not_Canceled
2;0;0;1;0;Room_Type 1;23;6;15;0;0;0;114.75;0;Canceled
2;2;0;1;0;Room_Type 6;1;9;20;0;0;0;275;1;Not_Canceled
1;0;1;2;0;Room_Type 4;253;10;7;0;0;0;140.4;1;Canceled
2;0;0;2;0;Room_Type 1;30;6;2;0;0;0;140;0;Not_Canceled
2;0;1;2;0;Room_Type 1;305;11;4;0;0;0;89;0;Canceled
2;0;0;2;0;Room_Type 1;199;6;3;0;0;0;73.45;0;Canceled
1;0;0;3;0;Room_Type 1;37;10;13;0;0;0;95;0;Not_Canceled
2;0;0;4;0;Room_Type 1;118;5;11;0;0;0;109.65;1;Not_Canceled
2;0;2;1;0;Room_Type 1;23;1;2;0;0;0;109;0;Not_Canceled
2;0;0;1;0;Room_Type 1;22;2;19;0;0;0;67;1;Not_Canceled
2;0;2;5;0;Room_Type 1;212;10;1;0;0;0;92.65;2;Not_Canceled
1;0;0;1;0;Room_Type 1;2;6;29;0;0;0;65;0;Not_Canceled
2;0;0;2;0;Room_Type 1;46;3;4;0;0;0;67.5;0;Canceled
2;0;2;0;0;Room_Type 1;386;10;23;0;0;0;115;1;Canceled
2;0;2;2;0;Room_Type 1;36;12;10;0;0;0;104;2;Not_Canceled
2;0;1;2;0;Room_Type 1;4;2;19;0;0;0;76.8;0;Not_Canceled
1;0;0;3;0;Room_Type 1;37;10;13;0;0;0;95;0;Not_Canceled
2;2;1;3;0;Room_Type 6;3;2;29;0;0;0;183;1;Not_Canceled
2;0;2;2;0;Room_Type 4;47;4;29;0;0;0;132.6;2;Not_Canceled
2;0;1;2;0;Room_Type 1;305;11;4;0;0;0;89;0;Canceled
1;0;2;1;0;Room_Type 1;89;4;9;0;0;0;84.9;0;Not_Canceled
2;0;0;1;0;Room_Type 1;56;6;8;0;0;0;120;0;Not_Canceled
2;0;2;2;0;Room_Type 1;88;4;2;0;0;0;72.25;0;Not_Canceled
2;0;0;3;1;Room_Type 4;94;3;9;0;0;0;96.3;0;Not_Canceled
2;0;0;3;0;Room_Type 1;12;8;5;0;0;0;65;0;Not_Canceled
1;0;1;0;1;Room_Type 1;45;11;28;1;0;4;67;0;Not_Canceled
2;0;0;2;0;Room_Type 1;245;6;17;0;0;0;75;0;Canceled
1;0;2;5;0;Room_Type 1;16;10;3;0;0;0;114.57;0;Not_Canceled
2;0;2;0;0;Room_Type 1;78;10;30;0;0;0;90.9;0;Canceled
1;0;1;2;0;Room_Type 1;86;5;20;0;0;0;60;0;Not_Canceled
1;0;0;4;0;Room_Type 1;14;5;18;0;0;0;62;0;Not_Canceled
2;0;0;1;0;Room_Type 1;1;6;14;0;0;0;99;0;Not_Canceled
1;1;0;1;0;Room_Type 1;29;12;17;0;0;0;130;0;Not_Canceled
1;0;0;1;0;Room_Type 1;1;12;30;0;0;0;130;0;Not_Canceled
2;0;0;1;0;Room_Type 1;4;12;15;0;0;0;78;2;Not_Canceled
1;0;0;1;0;Room_Type 1;37;5;13;0;0;0;116.1;0;Not_Canceled
2;0;0;2;0;Room_Type 1;27;9;30;0;0;0;108;0;Not_Canceled
2;0;0;4;0;Room_Type 1;270;4;20;0;0;0;62.8;0;Canceled
1;0;0;1;0;Room_Type 1;16;3;11;0;0;0;75;0;Not_Canceled
2;0;1;2;1;Room_Type 1;5;7;8;0;0;0;160;0;Not_Canceled
2;0;1;2;0;Room_Type 1;305;11;4;0;0;0;89;0;Canceled
2;0;0;1;0;Room_Type 1;0;9;22;0;0;0;152;2;Not_Canceled
3;0;2;1;0;Room_Type 4;34;10;2;0;0;0;158.4;1;Not_Canceled
2;0;0;1;0;Room_Type 1;41;12;27;0;0;0;65;0;Not_Canceled
2;0;0;4;0;Room_Type 1;90;4;13;0;0;0;80.75;0;Canceled
3;0;0;4;0;Room_Type 4;137;8;23;0;0;0;133.2;0;Canceled
1;0;2;0;0;Room_Type 1;5;7;10;1;0;1;65;0;Not_Canceled
2;0;2;5;0;Room_Type 4;88;7;5;0;0;0;127.8;1;Not_Canceled
2;0;2;1;0;Room_Type 1;87;3;20;0;0;0;78.3;0;Canceled
2;0;0;2;0;Room_Type 1;0;8;14;0;0;0;109;0;Not_Canceled
2;0;1;1;0;Room_Type 1;33;5;21;0;0;0;117.9;1;Not_Canceled
2;0;1;3;0;Room_Type 1;86;3;31;0;0;0;82.45;1;Not_Canceled
2;0;1;2;0;Room_Type 1;46;1;22;0;0;0;60;0;Not_Canceled
2;0;0;1;0;Room_Type 1;25;7;29;0;0;0;101;1;Not_Canceled
2;0;0;4;0;Room_Type 1;81;12;30;0;0;0;110.8;3;Not_Canceled
2;0;1;2;0;Room_Type 1;30;11;11;0;0;0;87.27;0;Not_Canceled
2;0;0;3;0;Room_Type 4;35;10;11;0;0;0;151.5;1;Canceled
2;0;0;2;0;Room_Type 4;46;11;3;0;0;0;60;0;Not_Canceled
2;0;2;5;0;Room_Type 1;0;8;29;0;0;0;99.14;0;Not_Canceled
2;0;1;2;0;Room_Type 1;39;10;23;0;0;0;74.88;1;Not_Canceled
2;0;2;2;0;Room_Type 4;32;12;27;0;0;0;65.55;0;Not_Canceled
3;0;0;2;1;Room_Type 1;9;11;11;0;0;0;0;3;Not_Canceled
1;0;0;4;0;Room_Type 1;151;1;19;0;0;0;70.75;0;Not_Canceled
2;0;2;4;0;Room_Type 1;48;5;7;0;0;0;119.85;1;Not_Canceled
2;0;2;2;0;Room_Type 1;207;10;28;0;0;0;62.54;1;Not_Canceled
2;0;0;1;1;Room_Type 1;1;10;28;0;0;0;95;1;Not_Canceled
1;0;1;1;0;Room_Type 1;301;7;30;0;0;0;90;0;Not_Canceled
2;0;0;4;0;Room_Type 1;100;9;28;0;0;0;100;0;Canceled
2;0;1;3;0;Room_Type 5;206;6;30;0;0;0;101.83;0;Canceled
1;0;1;4;0;Room_Type 1;144;8;31;0;0;0;97.85;1;Not_Canceled
1;0;1;1;0;Room_Type 1;32;10;24;0;0;0;120;1;Not_Canceled
2;0;0;2;0;Room_Type 1;90;11;20;0;0;0;72.25;1;Canceled
1;0;2;1;0;Room_Type 1;4;8;23;0;0;0;0;1;Not_Canceled
1;0;0;2;0;Room_Type 1;55;3;31;1;0;5;65;0;Not_Canceled
2;0;1;3;0;Room_Type 1;113;6;30;0;0;0;85;0;Canceled
2;0;0;1;0;Room_Type 1;8;11;5;0;0;0;130;0;Not_Canceled
2;0;1;1;0;Room_Type 1;15;5;2;0;0;0;141;1;Not_Canceled
2;0;0;3;0;Room_Type 1;162;9;17;0;0;0;70;0;Not_Canceled
2;0;1;3;0;Room_Type 4;73;3;28;0;0;0;69.7;1;Not_Canceled
2;0;0;2;0;Room_Type 1;84;11;18;0;0;0;93.6;1;Canceled
1;0;2;2;0;Room_Type 1;116;2;28;0;0;0;76;0;Not_Canceled
1;0;1;1;0;Room_Type 4;6;7;11;0;0;0;166;1;Not_Canceled
2;0;0;5;0;Room_Type 1;140;12;29;0;0;0;70;0;Not_Canceled
1;0;0;3;0;Room_Type 1;161;9;8;0;0;0;116.1;0;Canceled
2;0;2;0;0;Room_Type 1;20;12;18;0;0;0;97;1;Not_Canceled
1;0;0;2;0;Room_Type 1;1;6;7;0;0;0;115;1;Not_Canceled
2;0;0;1;0;Room_Type 4;4;3;5;0;0;0;154;0;Canceled
2;1;0;1;0;Room_Type 1;4;7;14;0;0;0;151;1;Not_Canceled
1;0;1;2;0;Room_Type 1;159;9;19;0;0;0;122;0;Canceled
2;0;0;2;0;Room_Type 1;37;3;1;0;0;0;81.9;1;Canceled
1;0;0;2;0;Room_Type 1;56;9;17;0;0;0;58;0;Not_Canceled
2;0;0;2;0;Room_Type 1;6;1;12;0;0;0;69.5;2;Not_Canceled
2;0;0;2;0;Room_Type 1;17;8;19;0;0;0;136;1;Canceled
2;0;0;2;0;Room_Type 1;377;10;14;0;0;0;115;1;Canceled
2;0;0;3;0;Room_Type 1;58;12;15;0;0;0;79.2;0;Canceled
1;0;0;2;0;Room_Type 1;30;11;16;0;0;0;82;0;Not_Canceled
1;0;0;1;0;Room_Type 1;0;7;20;0;0;0;79;0;Not_Canceled
2;0;2;5;0;Room_Type 1;2;12;28;0;0;0;113.57;1;Not_Canceled
1;0;1;0;0;Room_Type 1;0;1;25;0;0;0;79;0;Not_Canceled
2;0;0;3;0;Room_Type 1;37;10;13;0;0;0;105;0;Not_Canceled
2;1;0;4;0;Room_Type 1;278;12;7;0;0;0;89.25;1;Canceled
1;0;0;2;0;Room_Type 1;164;10;2;0;0;0;100;0;Not_Canceled
2;0;0;3;0;Room_Type 1;143;12;8;0;0;0;79.2;1;Not_Canceled
2;0;0;3;0;Room_Type 1;1;8;5;0;0;0;80;1;Not_Canceled
2;2;2;1;1;Room_Type 6;188;7;16;0;0;0;186.3;1;Canceled
2;0;1;2;0;Room_Type 1;122;3;28;0;0;0;0;1;Not_Canceled
1;0;2;1;0;Room_Type 1;27;10;4;0;0;0;91.83;2;Not_Canceled
1;0;0;2;0;Room_Type 1;8;3;2;0;0;0;56;0;Not_Canceled
1;0;0;3;0;Room_Type 1;8;12;14;0;0;0;88.2;0;Not_Canceled
2;0;0;3;0;Room_Type 1;105;10;12;0;0;0;75;0;Not_Canceled
2;0;2;1;1;Room_Type 1;0;8;8;0;0;0;98;0;Not_Canceled
2;0;0;3;0;Room_Type 4;27;4;12;0;0;0;126;1;Not_Canceled
2;0;2;0;0;Room_Type 1;75;10;30;0;0;0;105;0;Canceled
2;0;0;1;0;Room_Type 1;0;1;6;0;0;0;75;0;Not_Canceled
2;0;0;3;0;Room_Type 4;280;11;16;0;0;0;91.8;1;Canceled
2;0;1;2;0;Room_Type 1;209;4;25;0;0;0;81.77;1;Not_Canceled
2;2;0;3;0;Room_Type 6;136;5;26;0;0;0;198.9;0;Canceled
3;0;1;3;0;Room_Type 1;70;3;28;0;0;0;84.15;1;Not_Canceled
1;0;0;2;0;Room_Type 4;0;4;26;1;0;22;0;2;Not_Canceled
1;0;1;0;0;Room_Type 1;1;12;14;0;0;0;81;0;Not_Canceled
2;0;1;1;0;Room_Type 1;126;10;8;0;0;0;118.8;2;Not_Canceled
2;0;1;3;0;Room_Type 1;39;11;7;0;0;0;147.6;0;Canceled
2;1;2;3;0;Room_Type 1;156;7;16;0;0;0;111.35;2;Canceled
2;0;2;2;0;Room_Type 1;6;12;6;0;0;0;58;0;Not_Canceled
2;0;2;0;0;Room_Type 1;146;4;24;0;0;0;95;0;Canceled
2;0;1;3;0;Room_Type 1;110;5;5;0;0;0;101.58;1;Not_Canceled
3;0;2;4;0;Room_Type 4;70;7;3;0;0;0;150.3;0;Canceled
2;0;1;2;0;Room_Type 1;9;1;15;0;0;0;87;0;Not_Canceled
2;0;0;1;0;Room_Type 1;56;6;8;0;0;0;120;0;Not_Canceled
2;0;0;3;0;Room_Type 1;37;10;13;0;0;0;105;0;Not_Canceled
1;0;0;1;0;Room_Type 1;1;10;13;0;0;0;130;2;Not_Canceled
2;0;2;2;0;Room_Type 1;1;11;18;0;0;0;101.86;2;Not_Canceled
2;0;0;1;1;Room_Type 1;55;11;15;0;0;0;102.6;1;Not_Canceled
1;0;0;3;0;Room_Type 1;71;6;14;0;0;0;120;0;Not_Canceled
3;0;2;2;0;Room_Type 4;54;5;13;0;0;0;150.45;1;Not_Canceled
2;0;2;2;1;Room_Type 1;214;7;29;0;0;0;89.75;1;Not_Canceled
1;0;0;2;0;Room_Type 1;256;6;15;0;0;0;90;0;Not_Canceled
2;0;2;3;0;Room_Type 4;52;10;15;0;0;0;148.5;2;Not_Canceled
2;0;0;1;1;Room_Type 4;1;10;15;0;0;0;145;0;Not_Canceled
3;0;0;2;0;Room_Type 4;172;7;19;0;0;0;128.7;2;Canceled
2;0;2;2;0;Room_Type 1;116;10;23;0;0;0;94.05;0;Canceled
2;0;1;2;0;Room_Type 1;305;11;4;0;0;0;89;0;Canceled
2;0;1;4;0;Room_Type 1;81;9;5;0;0;0;95;0;Canceled
1;0;0;3;0;Room_Type 1;71;6;14;0;0;0;120;0;Not_Canceled
2;0;0;1;0;Room_Type 4;45;8;19;0;0;0;149.4;1;Not_Canceled
2;0;0;1;0;Room_Type 2;210;7;30;0;0;0;76.5;0;Canceled
1;0;1;1;0;Room_Type 5;96;9;28;0;0;0;123.5;0;Canceled
2;0;1;0;0;Room_Type 1;18;7;3;0;0;0;151;1;Not_Canceled
2;0;0;2;0;Room_Type 1;68;3;11;0;0;0;67.5;1;Not_Canceled
2;0;1;2;0;Room_Type 1;338;10;7;0;0;0;90.67;1;Not_Canceled
2;0;0;2;0;Room_Type 4;65;9;9;0;0;0;149.4;1;Not_Canceled
2;0;0;3;0;Room_Type 4;174;9;8;0;0;0;90.95;0;Not_Canceled
3;0;1;2;0;Room_Type 4;45;11;25;0;0;0;126;1;Not_Canceled
2;0;2;0;0;Room_Type 4;3;12;6;0;0;0;87.2;0;Not_Canceled
1;0;0;2;0;Room_Type 1;38;6;1;0;0;0;99;0;Not_Canceled
2;0;0;4;0;Room_Type 1;64;3;22;0;0;0;88.5;0;Not_Canceled
1;0;0;4;0;Room_Type 5;13;2;3;0;0;0;86;0;Not_Canceled
2;0;0;2;0;Room_Type 1;74;4;28;0;0;0;77.62;0;Not_Canceled
2;0;2;2;0;Room_Type 1;71;4;3;0;0;0;87.13;1;Not_Canceled
2;2;2;2;0;Room_Type 6;65;3;20;0;0;0;161.5;0;Canceled
2;0;2;0;0;Room_Type 1;27;10;16;0;0;0;85;0;Not_Canceled
2;0;1;0;0;Room_Type 1;10;10;4;0;0;0;87.78;1;Not_Canceled
1;0;0;2;0;Room_Type 1;74;9;18;0;0;0;80;0;Not_Canceled
2;0;0;4;0;Room_Type 1;154;6;28;0;0;0;90.95;0;Canceled
2;0;1;2;0;Room_Type 1;15;2;12;0;0;0;40.67;0;Not_Canceled
2;2;2;1;0;Room_Type 6;6;12;18;0;0;0;148.39;2;Not_Canceled
1;0;0;2;0;Room_Type 1;9;3;2;0;0;0;56;0;Not_Canceled
2;1;2;5;0;Room_Type 1;186;10;2;0;0;0;125.1;0;Canceled
1;0;0;1;0;Room_Type 1;27;7;6;0;0;0;139;2;Not_Canceled
2;0;0;1;0;Room_Type 2;238;6;18;0;0;0;96.48;2;Canceled
2;0;2;3;0;Room_Type 1;147;6;5;0;0;0;104.21;2;Not_Canceled
2;0;0;2;0;Room_Type 1;134;4;29;0;0;0;96.3;2;Not_Canceled
2;0;0;2;0;Room_Type 1;46;7;1;0;0;0;107.1;1;Not_Canceled
1;0;1;5;0;Room_Type 1;349;10;4;0;0;0;80;0;Canceled
2;0;2;3;0;Room_Type 1;119;9;2;0;0;0;131.4;0;Canceled
2;0;0;5;0;Room_Type 4;133;6;21;0;0;0;90.95;0;Not_Canceled
2;0;2;2;0;Room_Type 4;56;3;6;0;0;0;65.49;0;Not_Canceled
2;0;2;3;0;Room_Type 4;5;4;1;0;0;0;141;2;Not_Canceled
2;0;0;3;0;Room_Type 1;173;3;31;0;0;0;100.8;2;Canceled
2;0;0;2;0;Room_Type 1;182;9;30;0;0;0;117.9;2;Canceled
2;0;1;3;0;Room_Type 1;30;12;5;0;0;0;74.8;1;Not_Canceled
2;0;1;3;0;Room_Type 1;198;7;18;0;0;0;90.95;1;Not_Canceled
1;0;0;1;0;Room_Type 6;0;3;30;1;0;1;0;1;Not_Canceled
2;0;1;2;0;Room_Type 4;189;10;28;0;0;0;109.8;0;Canceled
2;0;2;2;0;Room_Type 1;159;5;13;0;0;0;114.75;1;Canceled
2;0;0;1;0;Room_Type 1;0;8;6;0;0;0;81;0;Not_Canceled
2;0;2;3;0;Room_Type 1;161;10;2;0;0;0;91.48;1;Not_Canceled
2;0;1;3;0;Room_Type 1;12;10;12;0;0;0;100;0;Not_Canceled
2;0;2;0;0;Room_Type 1;13;4;10;0;0;0;118;0;Not_Canceled
2;0;2;1;0;Room_Type 1;0;4;16;0;0;0;98;0;Canceled
2;0;0;3;0;Room_Type 1;55;8;31;0;0;0;144;2;Not_Canceled
2;0;2;5;0;Room_Type 1;29;3;2;0;0;0;74.23;1;Canceled
2;0;0;2;0;Room_Type 4;17;4;15;0;0;0;142;0;Canceled
1;0;1;0;0;Room_Type 1;86;6;26;1;1;7;65;0;Not_Canceled
2;0;0;1;0;Room_Type 1;100;10;16;0;0;0;108;0;Canceled
2;0;0;1;0;Room_Type 1;101;12;6;0;0;0;79.2;1;Canceled
3;0;0;3;0;Room_Type 1;172;8;25;0;0;0;137.7;1;Canceled
1;0;1;0;0;Room_Type 1;6;10;3;0;0;0;89;0;Not_Canceled
1;0;0;1;0;Room_Type 1;2;10;22;0;0;0;120;1;Not_Canceled
1;0;0;2;0;Room_Type 1;188;6;15;0;0;0;130;0;Canceled
2;0;0;2;0;Room_Type 1;88;10;7;0;0;0;90;1;Not_Canceled
1;0;1;1;0;Room_Type 1;301;7;30;0;0;0;90;0;Not_Canceled
3;0;1;1;0;Room_Type 1;32;4;16;0;0;0;142.2;2;Not_Canceled
2;0;1;1;0;Room_Type 1;32;5;21;0;0;0;117.9;1;Canceled
2;0;0;1;0;Room_Type 1;56;6;8;0;0;0;120;0;Not_Canceled
2;0;1;0;0;Room_Type 1;28;10;5;0;0;0;94.5;2;Not_Canceled
2;0;2;0;0;Room_Type 1;268;10;30;0;0;0;105;0;Canceled
2;0;0;2;0;Room_Type 1;20;2;24;0;0;0;67.22;2;Not_Canceled
2;0;2;1;0;Room_Type 1;30;2;28;0;0;0;72;1;Not_Canceled
2;0;1;3;0;Room_Type 1;4;12;29;0;0;0;122.48;1;Not_Canceled
2;0;0;1;0;Room_Type 1;6;1;16;0;0;0;80.3;1;Not_Canceled
2;0;0;1;0;Room_Type 1;46;9;7;0;0;0;98.1;1;Not_Canceled
3;0;0;2;0;Room_Type 1;17;2;9;0;0;0;136;0;Canceled
2;0;0;1;1;Room_Type 1;0;10;9;0;0;0;161;1;Not_Canceled
2;0;2;0;0;Room_Type 1;23;9;11;0;0;0;100.1;2;Not_Canceled
2;1;1;4;0;Room_Type 1;100;7;6;0;0;0;93.6;2;Canceled
1;0;0;3;0;Room_Type 1;151;1;19;0;0;0;71;0;Not_Canceled
2;0;2;1;0;Room_Type 1;14;12;5;0;0;0;69;1;Not_Canceled
2;0;0;4;0;Room_Type 1;83;4;5;0;0;0;84.58;1;Not_Canceled
2;0;1;3;0;Room_Type 1;48;5;30;0;0;0;85.5;0;Not_Canceled
2;0;0;1;0;Room_Type 1;30;5;21;0;0;0;135.9;1;Not_Canceled
2;0;2;8;0;Room_Type 1;174;8;16;0;0;0;131.75;0;Canceled
2;0;2;5;0;Room_Type 4;141;7;5;0;0;0;82.45;0;Not_Canceled
1;0;0;2;0;Room_Type 1;192;6;24;0;0;0;95;0;Not_Canceled
2;1;0;1;0;Room_Type 1;13;6;9;0;0;0;119;2;Not_Canceled
2;0;1;4;0;Room_Type 1;57;3;30;0;0;0;63.55;1;Not_Canceled
1;0;0;1;0;Room_Type 1;1;5;24;0;0;0;89;0;Not_Canceled
2;0;0;3;0;Room_Type 1;142;8;24;0;0;0;108.3;0;Not_Canceled
1;0;0;2;0;Room_Type 1;6;11;17;1;2;10;65;0;Not_Canceled
1;0;0;1;0;Room_Type 1;27;12;6;1;0;11;88;1;Not_Canceled
1;0;0;3;0;Room_Type 2;11;3;16;0;0;0;31;0;Not_Canceled
2;0;0;1;0;Room_Type 1;29;9;29;0;0;0;139;1;Canceled
3;0;0;3;0;Room_Type 5;103;12;27;0;0;0;113.05;1;Not_Canceled
1;0;2;4;0;Room_Type 1;69;6;12;0;0;0;120;0;Canceled
1;0;0;2;0;Room_Type 1;6;12;10;0;0;0;0;0;Not_Canceled
2;0;2;1;0;Room_Type 1;76;4;2;0;0;0;87.3;1;Not_Canceled
1;0;1;0;0;Room_Type 1;3;12;14;0;0;0;65;0;Not_Canceled
2;0;1;2;0;Room_Type 1;53;10;26;0;0;0;94.5;1;Not_Canceled
2;0;0;1;0;Room_Type 1;43;10;20;0;0;0;85.5;1;Not_Canceled
3;0;1;4;0;Room_Type 6;217;8;8;0;0;0;158.95;2;Canceled
2;0;0;1;0;Room_Type 1;9;2;24;0;0;0;70.07;0;Canceled
2;0;1;2;0;Room_Type 1;56;6;20;0;0;0;99.9;2;Not_Canceled
1;0;0;3;0;Room_Type 1;151;1;19;0;0;0;80;0;Not_Canceled
2;0;1;1;0;Room_Type 1;126;11;5;0;0;0;79.2;0;Not_Canceled
1;0;0;1;0;Room_Type 1;1;11;8;0;0;0;161.88;0;Not_Canceled
2;0;0;4;0;Room_Type 1;323;5;17;0;0;0;70;0;Canceled
2;0;2;2;0;Room_Type 4;41;10;23;0;0;0;110.09;1;Not_Canceled
2;0;0;1;0;Room_Type 1;105;4;6;0;0;0;75;0;Canceled
2;0;0;3;0;Room_Type 1;304;11;3;0;0;0;89;0;Canceled
2;0;1;4;0;Room_Type 4;62;11;25;0;0;0;60;0;Not_Canceled
2;0;0;3;0;Room_Type 1;118;6;2;0;0;0;116.1;0;Canceled
2;0;0;1;0;Room_Type 1;7;12;29;0;0;0;74.8;4;Not_Canceled
2;0;1;3;0;Room_Type 1;178;10;24;0;0;0;106.25;1;Canceled
2;0;2;2;0;Room_Type 1;303;11;18;0;0;0;73.95;1;Not_Canceled
2;0;0;2;0;Room_Type 1;134;5;18;0;0;0;105.3;1;Canceled
2;0;2;4;0;Room_Type 1;2;2;10;0;0;0;80.67;0;Not_Canceled
2;0;0;2;0;Room_Type 4;16;2;5;0;0;0;82.8;0;Not_Canceled
2;0;2;2;0;Room_Type 1;87;6;11;0;0;0;95;0;Not_Canceled
1;0;0;1;0;Room_Type 1;41;3;15;0;0;0;76.5;0;Canceled
2;0;1;5;0;Room_Type 1;6;12;27;0;0;0;70;1;Not_Canceled
2;0;1;2;0;Room_Type 1;105;10;12;0;0;0;110;0;Canceled
2;0;2;3;0;Room_Type 4;50;11;12;0;0;0;60;0;Not_Canceled
1;0;2;2;0;Room_Type 4;105;7;2;0;0;0;138.55;0;Canceled
2;0;0;3;0;Room_Type 1;8;12;15;0;0;0;58;1;Not_Canceled
2;0;2;2;0;Room_Type 4;114;5;14;0;0;0;87.05;1;Not_Canceled
2;0;2;0;0;Room_Type 1;0;3;20;0;0;0;109;0;Not_Canceled
2;0;0;2;0;Room_Type 1;6;12;3;0;0;0;55;0;Not_Canceled
1;0;0;1;0;Room_Type 1;1;12;15;1;0;2;75;0;Not_Canceled
2;0;0;3;0;Room_Type 1;196;8;30;0;0;0;85.5;0;Canceled
2;0;1;1;0;Room_Type 4;20;4;9;0;0;0;139;0;Canceled
1;0;2;2;0;Room_Type 1;28;7;3;0;0;0;132.05;0;Canceled
2;0;1;1;0;Room_Type 1;2;8;10;0;0;0;98;1;Canceled
2;0;0;2;0;Room_Type 1;256;6;15;0;0;0;115;1;Canceled
2;0;0;1;0;Room_Type 1;29;9;9;0;0;0;139;2;Not_Canceled
1;0;0;2;0;Room_Type 1;58;1;27;0;0;0;81;0;Not_Canceled
2;0;0;1;0;Room_Type 1;2;11;6;0;0;0;107;1;Not_Canceled
2;0;2;5;0;Room_Type 4;251;9;3;0;0;0;105.64;1;Canceled
1;0;0;1;0;Room_Type 1;1;12;10;0;0;0;65;0;Not_Canceled
2;0;2;1;0;Room_Type 1;11;3;5;0;0;0;64.8;0;Not_Canceled
2;0;2;2;0;Room_Type 1;121;3;19;0;0;0;43.5;0;Not_Canceled
2;0;0;4;0;Room_Type 1;8;1;20;0;0;0;79;2;Not_Canceled
1;0;0;2;0;Room_Type 1;103;4;19;0;0;0;115;0;Canceled
2;0;1;1;0;Room_Type 1;113;8;1;0;0;0;105.3;0;Canceled
2;0;1;0;0;Room_Type 1;0;6;6;0;0;0;96.12;0;Not_Canceled
2;0;0;1;0;Room_Type 1;0;4;22;0;0;0;109.87;0;Not_Canceled
1;0;1;1;0;Room_Type 1;85;6;4;0;0;0;117;1;Not_Canceled
2;0;2;3;0;Room_Type 4;294;10;23;0;0;0;76.58;1;Not_Canceled
2;0;0;2;0;Room_Type 1;7;6;17;0;0;0;85;0;Not_Canceled
2;0;0;1;0;Room_Type 1;0;8;8;0;0;0;89;1;Not_Canceled
2;0;0;1;0;Room_Type 1;110;10;12;0;0;0;108;1;Canceled
2;0;1;3;0;Room_Type 1;8;2;22;0;0;0;93;0;Not_Canceled
1;0;0;1;0;Room_Type 1;0;1;5;0;0;0;82;0;Not_Canceled
3;0;2;1;0;Room_Type 4;158;10;9;0;0;0;151.2;2;Canceled
2;0;2;3;0;Room_Type 1;5;10;30;0;0;0;127.4;3;Not_Canceled
2;1;0;1;0;Room_Type 1;50;12;27;0;0;0;111.6;0;Canceled
1;0;1;0;1;Room_Type 1;30;11;13;1;0;3;67;0;Not_Canceled
1;0;0;2;0;Room_Type 1;265;6;24;0;0;0;90;0;Not_Canceled
2;0;1;3;0;Room_Type 1;29;12;1;0;0;0;64.67;1;Not_Canceled
2;0;2;4;0;Room_Type 4;82;4;16;0;0;0;109.37;0;Canceled
2;0;1;0;0;Room_Type 1;18;12;11;0;0;0;80;0;Not_Canceled
1;0;1;0;0;Room_Type 1;7;4;4;0;0;0;95;0;Not_Canceled
2;0;1;2;0;Room_Type 1;26;10;3;0;0;0;153;2;Not_Canceled
2;0;2;1;0;Room_Type 1;240;12;10;0;0;0;67.5;2;Canceled
2;0;0;3;0;Room_Type 4;30;4;27;0;0;0;126.6;2;Not_Canceled
3;0;1;3;0;Room_Type 1;59;4;4;0;0;0;105;1;Not_Canceled
2;0;1;2;0;Room_Type 1;207;12;30;0;0;0;161.67;0;Not_Canceled
